Customer_ID,Age,Gender,Region,Membership_Level,Tenure_Months,Monthly_Income_JD,Monthly_Spend_JD,Total_Orders,Average_Order_Value_JD,Days_Since_Last_Purchase,Website_Visits_Last_30_Days,Email_Engagement_Rate,Discount_Usage_Rate,Satisfaction_Score,Support_Tickets_Last_6_Months,Complaint_Flag,Last_Campaign_Response,Payment_Method,Churn_Probability,Predicted_Churn,Annual_Spending_JD,Annual_Profit_JD,Expected_Saved_Profit_JD,Expected_Net_Benefit_JD,Selected_for_Retention
C20038,25,Male,Balqa,Basic,23,1117.85,179.93,15,251.09,75,13,0.075,0.727,3,4,1,1,Cash,0.8361969506357891,1,2159.16,539.79,157.97976319429242,137.97976319429242,Yes
C20039,27,Male,Amman,Basic,21,1749.67,152.06,8,338.02,3,16,0.294,0.609,4,0,0,0,Digital Wallet,0.31029854826841463,0,1824.72,456.18,49.54319711217988,29.543197112179882,No
C20040,67,Female,Amman,Silver,12,1841.82,199.57,9,200.35,31,16,0.626,0.874,3,1,0,1,Card,0.23022465693318572,0,2394.84,598.71,48.24323152336366,28.24323152336366,No
C20041,44,Female,Amman,Basic,73,1021.93,88.77,23,305.14,55,11,0.649,0.544,2,2,1,1,Digital Wallet,0.48620406005478095,0,1065.24,266.31,45.31835113161605,25.318351131616048,No
C20042,46,Male,Amman,Gold,19,1465.73,205.62,13,281.01,127,19,0.25,0.68,4,3,1,1,Card,0.8394629958288256,1,2467.44,616.86,181.24090026243925,161.24090026243925,Yes
C20043,26,Male,Irbid,Platinum,54,1555.54,328.47,27,355.13,58,17,0.661,0.567,2,1,0,0,Cash,0.3918184958608548,0,3941.6400000000003,985.4100000000001,135.13565240218574,115.13565240218574,No
C20044,30,Male,Amman,Gold,43,1568.63,181.88,29,239.86,19,14,0.217,0.556,4,2,0,0,Card,0.4418707548867284,0,2182.56,545.64,84.38582554373806,64.38582554373806,No
C20045,44,Female,Amman,Basic,21,2194.44,164.59,12,259.59,36,12,0.718,0.663,4,0,0,1,Card,0.18539761824230647,0,1975.08,493.77,32.04032368582627,12.040323685826273,No
C20046,62,Male,Irbid,Basic,53,2314.24,350.51,26,500.0,45,18,0.779,0.697,4,2,0,1,Digital Wallet,0.20097725982746534,0,4206.12,1051.53,73.96676630923112,53.96676630923112,No
C20047,65,Male,Irbid,Silver,53,2343.36,170.19,26,340.32,36,18,0.51,0.537,3,1,0,0,Digital Wallet,0.3418424397286424,0,2042.28,510.57,61.08707305828853,41.08707305828853,No
C20048,56,Male,Amman,Basic,60,1720.49,224.07,31,374.4,38,8,0.687,0.418,4,2,0,1,Digital Wallet,0.22741276849007916,0,2688.84,672.21,53.50419798735064,33.50419798735064,No
C20049,70,Male,Amman,Silver,39,2167.01,316.83,21,500.0,17,17,0.602,0.707,4,1,0,1,Card,0.1020849201699768,0,3801.96,950.49,33.96074352032644,13.960743520326439,No
C20050,60,Female,Other,Platinum,27,1792.625,256.07,12,500.0,37,17,0.475,0.728,3,2,0,0,Cash,0.3179056618451344,0,3072.84,768.21,85.47640797011775,65.47640797011775,No
C20051,30,Female,Irbid,Silver,40,1150.61,137.66,14,337.08,33,12,0.342,0.831,5,1,0,1,Digital Wallet,0.21285658616235553,0,1651.92,412.98,30.766929533665355,10.766929533665355,No
C20052,31,Male,Irbid,Basic,27,1790.39,85.39,11,178.55,60,17,0.106,0.51,3,31,1,1,Digital Wallet,0.9997588076103359,1,1024.68,256.17,89.63787481093891,69.63787481093891,No
C20053,40,Female,Balqa,Gold,13,2349.96,199.85,13,196.39,136,21,0.336,0.508,4,2,0,0,Card,0.780138202801364,1,2398.2,599.55,163.7061508213452,143.7061508213452,Yes
C20054,40,Male,Balqa,Basic,32,1449.8,163.62,16,281.3,100,14,0.225,0.345,4,4,1,0,Card,0.8476593978635536,1,1963.44,490.86,145.62873221235637,125.62873221235637,Yes
C20055,38,Female,Amman,Basic,5,1095.68,189.65,9,103.89,240,13,0.615,0.259,4,1,0,1,Card,0.9356607812681306,1,2275.8,568.95,186.32047052587603,166.32047052587603,Yes
C20056,58,Female,Amman,Platinum,24,2191.21,241.19,17,273.44,1,17,0.212,0.712,4,1,0,1,Card,0.12241342676633553,0,2894.2799999999997,723.5699999999999,31.001139121861087,11.001139121861087,No
C20057,60,Female,Amman,Silver,55,2054.76,256.08,21,500.0,68,18,0.456,0.177,3,3,1,0,Digital Wallet,0.6443167185107533,1,3072.96,768.24,173.2464565400454,153.2464565400454,Yes
C20058,28,Female,Amman,Silver,6,931.56,152.79,5,136.09,64,17,0.191,0.508,3,0,0,1,Cash,0.5696289505771062,1,1833.48,458.37,91.38528772660985,71.38528772660985,No
C20059,57,Female,Amman,Basic,14,1792.625,212.66,10,287.37,18,23,0.398,0.368,4,0,0,0,Bank Transfer,0.3470459266088857,0,2551.92,637.98,77.49292609027792,57.49292609027792,No
C20060,52,Male,Amman,Silver,37,1750.58,146.05,22,223.81,38,14,0.429,0.529,4,0,0,1,Card,0.19232254044198765,0,1752.6000000000001,438.15000000000003,29.49314238312991,9.49314238312991,No
C20061,54,Male,Balqa,Platinum,38,2375.9,320.95,21,500.0,17,17,0.269,0.386,3,3,1,0,Digital Wallet,0.3502574853115365,0,3851.3999999999996,962.8499999999999,118.0358969062745,98.0358969062745,No
C20062,54,Male,Balqa,Platinum,31,2385.8,328.5,18,500.0,96,14,0.461,0.113,3,2,0,0,Digital Wallet,0.4715379603858377,0,3942.0,985.5,162.64523098608504,142.64523098608504,No
C20063,46,Male,Amman,Basic,49,1434.91,127.23,30,226.94,240,15,0.847,0.289,4,3,1,1,Card,0.9466546212648329,1,1526.76,381.69,126.46501083670091,106.46501083670091,Yes
C20064,50,Female,Irbid,Platinum,38,2039.47,374.13,26,500.0,17,12,0.347,0.398,4,1,0,0,Card,0.19942027467816528,0,4489.5599999999995,1122.3899999999999,78.33956273360907,58.33956273360907,No
C20065,34,Male,Other,Basic,73,1527.68,88.32,30,194.49,7,8,0.683,0.294,3,3,1,1,Card,0.23709897869083338,0,1059.84,264.96,21.98761088787312,1.987610887873121,No
C20066,48,Female,Amman,Silver,51,888.72,185.81,29,325.22,4,16,0.256,0.265,3,3,1,0,Card,0.5579362768524485,1,2229.7200000000003,557.4300000000001,108.85364658205114,88.85364658205114,No
C20067,48,Male,Amman,Basic,16,1975.41,159.95,9,250.3,9,19,0.546,0.217,3,4,1,0,Digital Wallet,0.684524520044299,1,1919.3999999999999,479.84999999999997,114.96418183013988,94.96418183013988,Yes
C20068,70,Female,Balqa,Gold,32,3433.17,227.23,12,454.52,46,7,0.446,0.772,4,0,0,1,Bank Transfer,0.10819848693216762,0,2726.7599999999998,681.6899999999999,25.815239294876264,5.815239294876264,No
C20069,51,Female,Irbid,Gold,35,1708.74,280.38,11,500.0,29,15,0.576,0.387,5,0,0,1,Bank Transfer,0.11659464828386462,0,3364.56,841.14,34.325347860121454,14.325347860121454,No
C20070,45,Female,Zarqa,Gold,11,1197.75,168.97,8,174.7,162,21,0.378,0.397,5,0,0,0,Card,0.7525005036525272,1,2027.6399999999999,506.90999999999997,133.50751060727586,113.50751060727586,Yes
C20071,68,Female,Zarqa,Silver,40,2081.42,194.63,16,500.0,101,14,0.514,0.551,2,4,1,1,Bank Transfer,0.7005951263100814,1,2335.56,583.89,143.17467090541768,123.17467090541768,Yes
C20072,18,Male,Amman,Basic,12,1254.58,440.06,17,294.92,18,19,0.168,0.546,3,4,1,1,Digital Wallet,0.6882421049611417,1,5280.72,1320.18,318.01121174466,298.01121174466,Yes
C20073,61,Male,Zarqa,Silver,7,2046.94,374.48,11,247.12,14,20,0.524,0.438,3,3,1,0,Card,0.43014811072640025,0,4493.76,1123.44,169.1359577300635,149.1359577300635,No
C20074,51,Female,Balqa,Gold,26,1987.79,212.62,6,500.0,52,15,0.462,0.718,4,2,0,1,Cash,0.26955513563534317,0,2551.44,637.86,60.178453585726,40.178453585726,No
C20075,22,Female,Amman,Basic,6,1898.87,136.25,9,100.16,9,12,0.438,0.246,4,3,1,0,Digital Wallet,0.6682740640825539,1,1635.0,408.75,95.60495829281035,75.60495829281035,No
C20076,23,Female,Amman,Gold,7,1346.36,191.63,8,184.9,13,14,0.212,0.467,5,1,0,1,Cash,0.31510867488798155,0,2299.56,574.89,63.4034891372231,43.4034891372231,No
C20077,58,Female,Amman,Silver,19,1388.34,219.26,14,268.35,30,14,0.297,0.774,3,0,0,0,Card,0.38022273829164915,0,2631.12,657.78,87.53601947771834,67.53601947771834,No
C20078,25,Female,Other,Silver,23,1925.88,198.8,12,371.3,14,19,0.239,0.33,4,2,0,0,Card,0.33327363772780744,0,2385.6000000000004,596.4000000000001,69.56753913930254,49.56753913930254,No
C20079,42,Female,Amman,Basic,32,1766.76,171.57,21,310.96,36,17,0.25,0.495,4,1,0,1,Card,0.3556935278018931,0,2058.84,514.71,64.07765549321934,44.07765549321934,No
C20080,26,Female,Balqa,Platinum,19,1564.19,403.51,18,449.78,45,20,0.539,0.498,3,0,0,1,Card,0.13376162735331656,0,4842.12,1210.53,56.6728619660036,36.6728619660036,No
C20081,36,Male,Irbid,Silver,17,12000.0,110.28,7,223.6,46,15,0.363,0.697,4,1,0,0,Cash,0.17936676887127959,0,1323.3600000000001,330.84000000000003,20.76959563468095,0.7695956346809503,No
C20082,51,Male,Other,Basic,22,1626.04,91.6,16,162.23,110,11,0.629,0.531,3,0,0,1,Card,0.5147392807897319,1,1099.1999999999998,274.79999999999995,49.507624026356396,29.507624026356396,No
C20083,19,Female,Other,Basic,11,1496.71,187.31,6,378.86,150,20,0.238,0.258,5,2,0,1,Cash,0.8148776812127863,1,2247.7200000000003,561.9300000000001,160.26647539136536,140.26647539136536,Yes
C20084,67,Male,Amman,Silver,38,1958.16,142.91,18,286.39,37,16,0.476,0.042,2,5,1,0,Bank Transfer,0.77210405393697,1,1714.92,428.73,115.858459865539,95.858459865539,Yes
C20085,48,Male,Zarqa,Basic,39,1431.71,80.98,16,167.56,11,14,0.528,0.826,3,2,0,0,Digital Wallet,0.34164450969800336,0,971.76,242.94,29.049691015111524,9.049691015111524,No
C20086,50,Male,Other,Silver,84,2418.95,115.94,39,212.29,24,12,0.314,0.57,4,2,0,0,Card,0.1930293313451924,0,1391.28,347.82,23.498811709969686,3.4988117099696865,No
C20087,46,Male,Irbid,Basic,14,2148.88,101.11,5,228.6,24,18,0.307,0.761,3,3,1,0,Card,0.7215236549873163,1,1213.32,303.33,76.60091959355591,56.600919593555915,No
C20088,43,Male,Zarqa,Gold,28,1922.04,235.55,14,431.53,13,9,0.347,0.744,3,1,0,0,Card,0.2648155954225506,0,2826.6000000000004,706.6500000000001,65.4961791768709,45.496179176870896,No
C20089,32,Female,Irbid,Basic,56,1792.625,166.75,35,208.47,27,17,0.38,0.78,3,1,0,1,Digital Wallet,0.35351225247553736,0,2001.0,500.25,61.89557650531064,41.89557650531064,No
C20090,44,Male,Amman,Basic,25,911.91,48.47,11,96.37,24,10,0.11,0.655,4,2,0,0,Card,0.5749144994878165,1,581.64,145.41,29.259411079683186,9.259411079683186,No
C20091,58,Male,Irbid,Basic,22,1578.61,119.43,7,376.97,1,18,0.403,0.817,2,4,1,0,Digital Wallet,0.7332213648202678,1,1433.16,358.29,91.94705898050881,71.94705898050881,No
C20092,38,Male,Zarqa,Gold,21,1159.52,150.96,13,158.3,47,14,0.642,0.892,5,0,0,1,Bank Transfer,0.1513333131091982,0,1811.52,452.88,23.98754079431279,3.987540794312789,No
C20093,44,Male,Amman,Basic,68,1629.19,178.43,23,500.0,104,7,0.404,0.717,4,2,0,0,Card,0.5792843789233398,1,2141.16,535.29,108.5297973178561,88.5297973178561,No
C20094,62,Male,Irbid,Silver,13,1580.2,158.47,9,200.21,74,18,0.212,0.71,2,1,0,1,Cash,0.6739051759667226,1,1901.6399999999999,475.40999999999997,112.13344089721885,92.13344089721885,Yes
C20095,45,Female,Amman,Basic,60,1615.4,114.99,25,289.53,25,16,0.485,0.3,5,2,0,0,Digital Wallet,0.316473202681195,0,1379.8799999999999,344.96999999999997,38.21081625512614,18.21081625512614,No
C20096,21,Female,Balqa,Basic,38,1746.5,559.3,33,500.0,10,26,0.316,0.204,4,2,0,1,Card,0.17992089936071332,0,6711.599999999999,1677.8999999999999,105.6612469630693,85.6612469630693,No
C20097,30,Male,Amman,Silver,49,1397.64,95.09,29,166.73,40,14,0.229,0.126,3,4,1,0,Digital Wallet,0.7942258094052779,1,1141.08,285.27,79.29907882716526,59.29907882716526,No
C20098,58,Female,Other,Gold,15,2030.66,196.49,8,450.64,51,15,0.4165,0.414,2,2,1,0,Card,0.6755416361464202,1,2357.88,589.47,139.3740348907306,119.3740348907306,Yes
C20099,33,Female,Amman,Platinum,84,2035.69,410.91,48,500.0,158,15,0.238,0.338,3,2,0,0,Bank Transfer,0.7389724615405449,1,4930.92,1232.73,318.8337328802065,298.8337328802065,Yes
C20100,55,Female,Other,Basic,26,2144.5,161.59,15,180.53,139,13,0.347,0.42,5,1,0,1,Card,0.5760541615884068,1,1939.08,484.77,97.73882156962419,77.73882156962419,No
C20101,35,Female,Amman,Silver,26,1738.34,136.3,18,197.81,38,19,0.4165,0.583,3,3,1,0,Card,0.6891389872875912,1,1635.6000000000001,408.90000000000003,98.62612616566362,78.62612616566362,No
C20102,48,Female,Irbid,Silver,20,2212.02,178.95,10,326.1,29,18,0.194,0.174,3,1,0,1,Card,0.35738946687466727,0,2147.3999999999996,536.8499999999999,67.15258735208279,47.15258735208279,No
C20103,46,Female,Zarqa,Gold,17,2821.47,461.34,16,406.97,21,21,0.275,0.384,4,0,0,0,Card,0.19586437427525663,0,5536.08,1384.02,94.87807394955423,74.87807394955423,No
C20104,24,Female,Amman,Basic,58,1239.47,62.59,25,152.85,102,11,0.5,0.735,3,1,0,0,Digital Wallet,0.7073113017760349,1,751.08,187.77,46.48414509707012,26.48414509707012,No
C20105,33,Female,Amman,Basic,45,1637.65,131.23,16,314.12,45,10,0.139,0.85,4,1,0,0,Bank Transfer,0.47941893880253017,0,1574.7599999999998,393.68999999999994,66.05985470600882,46.05985470600882,No
C20106,19,Male,Amman,Gold,1,1701.02,176.45,6,29.81,14,9,0.358,0.527,3,2,0,0,Card,0.5339888460467297,1,2117.3999999999996,529.3499999999999,98.9334484791927,78.9334484791927,No
C20107,52,Female,Amman,Platinum,26,2708.22,279.2,18,381.1,85,18,0.7,0.345,3,3,1,1,Cash,0.5507939067280351,1,3350.3999999999996,837.5999999999999,161.47074169639072,141.47074169639072,Yes
C20108,53,Female,Amman,Platinum,14,2602.99,226.08,17,174.88,41,19,0.718,0.847,3,2,0,1,Card,0.2262220014664944,0,2712.96,678.24,53.70148359612231,33.70148359612231,No
C20109,26,Male,Zarqa,Gold,58,1325.29,139.18,29,221.32,9,19,0.84,0.268,4,3,1,0,Digital Wallet,0.31283366946291097,0,1670.16,417.54,45.71719962164035,25.717199621640347,No
C20110,49,Male,Zarqa,Basic,65,2740.7,267.77,30,500.0,3,21,0.562,0.737,5,1,0,1,Cash,0.06472698000902914,0,3213.24,803.31,18.198540608868615,-1.8014593911313845,No
C20111,66,Male,Irbid,Basic,16,1731.98,152.7,12,192.63,1,12,0.268,0.383,4,0,0,0,Digital Wallet,0.3558383769438059,0,1832.3999999999999,458.09999999999997,57.053346167285106,37.053346167285106,No
C20112,50,Male,Irbid,Silver,15,2578.64,305.21,19,244.92,36,18,0.289,0.527,4,1,0,0,Digital Wallet,0.4424071521405262,0,3662.5199999999995,915.6299999999999,141.7784412500505,121.77844125005049,No
C20113,60,Female,Irbid,Gold,26,1224.94,165.82,12,369.0,31,11,0.081,0.779,4,2,0,1,Card,0.40631466882374007,0,1989.84,497.46,70.7438533035702,50.743853303570205,No
C20114,70,Male,Irbid,Gold,12,2479.71,166.11,6,299.8,27,17,0.548,0.439,5,2,0,1,Card,0.21931801803184497,0,1993.3200000000002,498.33000000000004,38.25246177403326,18.252461774033257,No
C20115,27,Male,Amman,Silver,11,1577.96,87.33,4,202.97,21,14,0.348,0.109,3,3,1,0,Digital Wallet,0.7075422072198598,1,1047.96,261.99,64.87914400433588,44.879144004335885,No
C20116,46,Female,Zarqa,Basic,39,1377.9,128.35,20,289.09,27,7,0.762,0.555,5,0,0,1,Digital Wallet,0.10360215496947053,0,1540.1999999999998,385.04999999999995,13.962203419848118,-6.037796580151882,No
C20117,32,Male,Zarqa,Basic,47,1815.54,143.86,22,274.74,47,15,0.658,0.607,4,0,0,1,Card,0.1491043465132776,0,1726.3200000000002,431.58000000000004,22.522658853870123,2.522658853870123,No
C20118,19,Female,Amman,Basic,14,1500.04,117.36,7,238.88,5,16,0.362,0.173,4,6,1,0,Cash,0.8234262198297905,1,1408.32,352.08,101.4691662171854,81.4691662171854,No
C20119,48,Male,Balqa,Gold,40,1968.05,342.92,25,500.0,36,15,0.48,0.828,4,3,1,0,Cash,0.4594033031649716,0,4115.04,1028.76,165.41550975739864,145.41550975739864,No
C20120,43,Male,Irbid,Gold,13,2010.52,282.84,9,432.13,109,14,0.233,0.6,5,0,0,0,Digital Wallet,0.6425016207368782,1,3394.08,848.52,190.81141632967956,170.81141632967956,Yes
C20121,49,Female,Irbid,Silver,25,1978.47,106.51,10,211.0,60,9,0.321,0.385,4,2,0,0,Card,0.5615837090284327,1,1278.1200000000001,319.53000000000003,62.80499489104928,42.80499489104928,No
C20122,29,Male,Irbid,Silver,9,1334.35,193.01,9,191.02,22,15,0.65,0.264,4,0,0,0,Card,0.29314822583265615,0,2316.12,579.03,59.409566021359005,39.409566021359005,No
C20123,45,Female,Amman,Basic,38,1385.5,129.21,15,259.62,10,11,0.64,0.727,4,2,0,1,Cash,0.23462656020432326,0,1550.52,387.63,31.831902736200636,11.831902736200636,No
C20124,59,Male,Amman,Basic,40,1494.44,148.0,20,277.98,33,14,0.141,0.304,4,3,1,1,Digital Wallet,0.5834771034847578,1,1776.0,444.0,90.67234188153135,70.67234188153135,No
C20125,31,Female,Irbid,Silver,39,2256.32,138.53,22,170.35,10,18,0.978,0.497,3,2,0,1,Card,0.16147133687365475,0,1662.3600000000001,415.59000000000003,23.48705551196276,3.4870555119627618,No
C20126,54,Female,Amman,Silver,9,1516.4,229.54,7,341.48,45,23,0.583,0.489,4,3,1,1,Bank Transfer,0.4877144159253111,0,2754.48,688.62,117.5474653830707,97.5474653830707,No
C20127,45,Male,Amman,Basic,31,889.96,180.52,9,156.36,11,14,0.34,0.016,4,1,0,1,Digital Wallet,0.2511282769453823,0,2166.2400000000002,541.5600000000001,47.60036038188944,27.600360381889438,No
C20128,62,Female,Zarqa,Silver,28,1994.97,95.07,14,107.53,35,12,0.475,0.502,4,2,0,0,Digital Wallet,0.34017150448994377,0,1140.84,285.21,33.9571101784519,13.957110178451899,No
C20129,31,Male,Amman,Silver,38,596.59,152.62,12,449.87,15,15,0.508,0.746,4,1,0,1,Card,0.15679752828923102,0,1831.44,457.86,25.126960705877558,5.126960705877558,No
C20130,49,Female,Other,Basic,9,1656.32,235.9,17,113.21,29,17,0.584,0.506,4,2,0,0,Card,0.42573699545167687,0,2830.8,707.7,105.4529250884031,85.4529250884031,No
C20131,50,Male,Amman,Silver,29,2028.39,128.38,17,198.17,12,13,0.22,0.273,5,0,0,0,Digital Wallet,0.24393506747846058,0,1540.56,385.14,32.882203161029004,12.882203161029004,No
C20132,44,Female,Other,Basic,41,1184.87,153.88,18,303.62,41,7,0.55,0.188,4,0,0,0,Card,0.2758957833385852,0,1846.56,461.64,44.577585297148566,24.577585297148566,No
C20133,54,Male,Amman,Silver,12,2710.54,190.37,9,208.44,5,23,0.6,0.482,3,7,1,0,Bank Transfer,0.7139529064543342,1,2284.44,571.11,142.71097554179718,122.71097554179718,Yes
