Customer_ID,Age,Gender,Region,Membership_Level,Tenure_Months,Monthly_Income_JD,Monthly_Spend_JD,Total_Orders,Average_Order_Value_JD,Days_Since_Last_Purchase,Website_Visits_Last_30_Days,Email_Engagement_Rate,Discount_Usage_Rate,Satisfaction_Score,Support_Tickets_Last_6_Months,Complaint_Flag,Last_Campaign_Response,Payment_Method
C20080,26,Female,Balqa,Platinum,19,1564.19,403.51,18,449.78,45,20,0.539,0.498,3,0,0,1,Card
C20081,36,Male,Irbid,Silver,17,12000.0,110.28,7,223.6,46,15,0.363,0.697,4,1,0,0,Cash
C20082,51,Male,Other,Basic,22,1626.04,91.6,16,162.23,110,11,0.629,0.531,3,0,0,1,Card
C20083,19,Female,Other,Basic,11,1496.71,187.31,6,378.86,150,20,0.238,0.258,5,2,0,1,Cash
C20084,67,Male,Amman,Silver,38,1958.16,142.91,18,286.39,37,16,0.476,0.042,2,5,1,0,Bank Transfer
C20085,48,Male,Zarqa,Basic,39,1431.71,80.98,16,167.56,11,14,0.528,0.826,3,2,0,0,Digital Wallet
C20086,50,Male,Other,Silver,84,2418.95,115.94,39,212.29,24,12,0.314,0.57,4,2,0,0,Card
C20087,46,Male,Irbid,Basic,14,2148.88,101.11,5,228.6,24,18,0.307,0.761,3,3,1,0,Card
C20088,43,Male,Zarqa,Gold,28,1922.04,235.55,14,431.53,13,9,0.347,0.744,3,1,0,0,Card
C20089,32,Female,Irbid,Basic,56,1792.625,166.75,35,208.47,27,17,0.38,0.78,3,1,0,1,Digital Wallet
C20090,44,Male,Amman,Basic,25,911.91,48.47,11,96.37,24,10,0.11,0.655,4,2,0,0,Card
C20091,58,Male,Irbid,Basic,22,1578.61,119.43,7,376.97,1,18,0.403,0.817,2,4,1,0,Digital Wallet
C20092,38,Male,Zarqa,Gold,21,1159.52,150.96,13,158.3,47,14,0.642,0.892,5,0,0,1,Bank Transfer
C20093,44,Male,Amman,Basic,68,1629.19,178.43,23,500.0,104,7,0.404,0.717,4,2,0,0,Card
C20094,62,Male,Irbid,Silver,13,1580.2,158.47,9,200.21,74,18,0.212,0.71,2,1,0,1,Cash
C20095,45,Female,Amman,Basic,60,1615.4,114.99,25,289.53,25,16,0.485,0.3,5,2,0,0,Digital Wallet
C20096,21,Female,Balqa,Basic,38,1746.5,559.3,33,500.0,10,26,0.316,0.204,4,2,0,1,Card
C20097,30,Male,Amman,Silver,49,1397.64,95.09,29,166.73,40,14,0.229,0.126,3,4,1,0,Digital Wallet
C20098,58,Female,Other,Gold,15,2030.66,196.49,8,450.64,51,15,0.4165,0.414,2,2,1,0,Card
C20099,33,Female,Amman,Platinum,84,2035.69,410.91,48,500.0,158,15,0.238,0.338,3,2,0,0,Bank Transfer
C20100,55,Female,Other,Basic,26,2144.5,161.59,15,180.53,139,13,0.347,0.42,5,1,0,1,Card
C20101,35,Female,Amman,Silver,26,1738.34,136.3,18,197.81,38,19,0.4165,0.583,3,3,1,0,Card
C20102,48,Female,Irbid,Silver,20,2212.02,178.95,10,326.1,29,18,0.194,0.174,3,1,0,1,Card
C20103,46,Female,Zarqa,Gold,17,2821.47,461.34,16,406.97,21,21,0.275,0.384,4,0,0,0,Card
C20104,24,Female,Amman,Basic,58,1239.47,62.59,25,152.85,102,11,0.5,0.735,3,1,0,0,Digital Wallet
C20105,33,Female,Amman,Basic,45,1637.65,131.23,16,314.12,45,10,0.139,0.85,4,1,0,0,Bank Transfer
C20106,19,Male,Amman,Gold,1,1701.02,176.45,6,29.81,14,9,0.358,0.527,3,2,0,0,Card
C20107,52,Female,Amman,Platinum,26,2708.22,279.2,18,381.1,85,18,0.7,0.345,3,3,1,1,Cash
C20108,53,Female,Amman,Platinum,14,2602.99,226.08,17,174.88,41,19,0.718,0.847,3,2,0,1,Card
C20109,26,Male,Zarqa,Gold,58,1325.29,139.18,29,221.32,9,19,0.84,0.268,4,3,1,0,Digital Wallet
C20110,49,Male,Zarqa,Basic,65,2740.7,267.77,30,500.0,3,21,0.562,0.737,5,1,0,1,Cash
C20111,66,Male,Irbid,Basic,16,1731.98,152.7,12,192.63,1,12,0.268,0.383,4,0,0,0,Digital Wallet
C20112,50,Male,Irbid,Silver,15,2578.64,305.21,19,244.92,36,18,0.289,0.527,4,1,0,0,Digital Wallet
C20113,60,Female,Irbid,Gold,26,1224.94,165.82,12,369.0,31,11,0.081,0.779,4,2,0,1,Card
C20114,70,Male,Irbid,Gold,12,2479.71,166.11,6,299.8,27,17,0.548,0.439,5,2,0,1,Card
C20115,27,Male,Amman,Silver,11,1577.96,87.33,4,202.97,21,14,0.348,0.109,3,3,1,0,Digital Wallet
C20116,46,Female,Zarqa,Basic,39,1377.9,128.35,20,289.09,27,7,0.762,0.555,5,0,0,1,Digital Wallet
C20117,32,Male,Zarqa,Basic,47,1815.54,143.86,22,274.74,47,15,0.658,0.607,4,0,0,1,Card
C20118,19,Female,Amman,Basic,14,1500.04,117.36,7,238.88,5,16,0.362,0.173,4,6,1,0,Cash
C20119,48,Male,Balqa,Gold,40,1968.05,342.92,25,500.0,36,15,0.48,0.828,4,3,1,0,Cash
C20120,43,Male,Irbid,Gold,13,2010.52,282.84,9,432.13,109,14,0.233,0.6,5,0,0,0,Digital Wallet
C20121,49,Female,Irbid,Silver,25,1978.47,106.51,10,211.0,60,9,0.321,0.385,4,2,0,0,Card
C20122,29,Male,Irbid,Silver,9,1334.35,193.01,9,191.02,22,15,0.65,0.264,4,0,0,0,Card
C20123,45,Female,Amman,Basic,38,1385.5,129.21,15,259.62,10,11,0.64,0.727,4,2,0,1,Cash
C20124,59,Male,Amman,Basic,40,1494.44,148.0,20,277.98,33,14,0.141,0.304,4,3,1,1,Digital Wallet
C20125,31,Female,Irbid,Silver,39,2256.32,138.53,22,170.35,10,18,0.978,0.497,3,2,0,1,Card
C20126,54,Female,Amman,Silver,9,1516.4,229.54,7,341.48,45,23,0.583,0.489,4,3,1,1,Bank Transfer
C20127,45,Male,Amman,Basic,31,889.96,180.52,9,156.36,11,14,0.34,0.016,4,1,0,1,Digital Wallet
C20128,62,Female,Zarqa,Silver,28,1994.97,95.07,14,107.53,35,12,0.475,0.502,4,2,0,0,Digital Wallet
C20129,31,Male,Amman,Silver,38,596.59,152.62,12,449.87,15,15,0.508,0.746,4,1,0,1,Card
C20130,49,Female,Other,Basic,9,1656.32,235.9,17,113.21,29,17,0.584,0.506,4,2,0,0,Card
C20131,50,Male,Amman,Silver,29,2028.39,128.38,17,198.17,12,13,0.22,0.273,5,0,0,0,Digital Wallet
C20132,44,Female,Other,Basic,41,1184.87,153.88,18,303.62,41,7,0.55,0.188,4,0,0,0,Card
C20133,54,Male,Amman,Silver,12,2710.54,190.37,9,208.44,5,23,0.6,0.482,3,7,1,0,Bank Transfer
C20134,20,Female,Amman,Basic,3,1634.18,170.38,3,161.06,41,20,0.384,0.627,4,6,1,0,Card
C20135,31,Female,Irbid,Gold,40,1792.625,136.07,18,239.06,600,16,0.289,0.67,3,2,0,0,Bank Transfer
C20136,29,Male,Irbid,Platinum,7,2056.97,225.75,10,169.08,11,13,0.474,0.631,4,3,1,0,Card
C20137,58,Male,Irbid,Basic,30,1695.3,256.28,11,477.0,56,16,0.342,0.891,3,1,0,1,Card
C20138,53,Female,Irbid,Basic,39,1932.78,73.02,12,200.81,11,19,0.564,0.475,3,2,0,1,Card
C20139,20,Male,Amman,Gold,19,1668.47,215.9,13,215.06,37,11,0.142,0.531,4,1,0,0,Card
C20140,61,Female,Other,Silver,20,2153.72,149.89,10,310.19,2,17,0.577,0.604,3,2,0,1,Bank Transfer
C20141,67,Female,Amman,Gold,27,2563.1,276.93,9,500.0,0,19,0.27,0.41,4,2,0,1,Card
C20142,65,Female,Amman,Platinum,22,2073.91,215.01,14,290.1,11,19,0.174,0.577,4,0,0,0,Digital Wallet
C20143,67,Female,Amman,Basic,55,1933.42,98.27,29,200.36,36,10,0.219,0.421,3,2,0,0,Card
C20144,68,Female,Zarqa,Silver,84,2514.69,386.74,27,500.0,5,22,0.365,0.314,4,1,0,0,Cash
C20145,25,Male,Amman,Basic,2,892.7,93.87,4,51.81,5,14,0.435,0.766,3,0,0,0,Bank Transfer
C20146,62,Female,Amman,Gold,40,1629.46,147.21,16,344.32,139,11,0.248,0.731,2,3,1,1,Card
C20147,53,Male,Amman,Basic,62,2268.19,174.91,37,258.84,9,14,0.531,0.094,4,1,0,1,Card
C20148,30,Female,Amman,Basic,15,1126.86,66.55,9,95.64,1,12,0.44,0.336,4,2,0,1,Card
C20149,53,Female,Irbid,Gold,17,2022.46,355.54,10,500.0,62,15,0.152,0.922,4,3,1,0,Cash
C20150,52,Female,Zarqa,Basic,28,1572.26,93.65,16,156.37,82,18,0.55,0.195,4,4,1,0,Card
C20151,31,Female,Amman,Basic,30,1730.14,135.76,10,390.06,43,19,0.112,0.372,3,3,1,1,Cash
C20152,28,Male,Other,Silver,54,1199.65,176.82,28,245.7,117,16,0.24,0.934,3,2,0,0,Card
C20153,22,Male,Zarqa,Basic,23,1136.84,77.09,14,106.44,0,11,0.044,0.439,3,1,0,0,Cash
C20154,44,Male,Amman,Gold,37,1539.96,403.03,24,500.0,81,14,0.703,0.43,3,3,1,1,Bank Transfer
C20155,26,Male,Balqa,Silver,2,1640.67,135.88,5,49.46,25,10,0.221,0.827,4,3,1,1,Cash
C20156,27,Male,Amman,Silver,51,2066.63,161.68,17,375.43,2,11,0.45,0.668,3,3,1,0,Cash
C20157,46,Male,Amman,Platinum,18,1676.67,231.09,17,263.95,22,16,0.348,0.933,4,2,0,0,Card
C20158,48,Female,Zarqa,Basic,27,1904.47,66.22,11,140.63,14,16,0.159,0.303,3,4,1,0,Cash
C20159,34,Male,Amman,Silver,16,1839.99,295.89,14,298.71,73,14,0.263,0.274,4,0,0,1,Card
C20160,31,Female,Zarqa,Silver,32,724.61,164.69,15,393.33,2,18,0.726,0.63,2,2,0,1,Cash
C20161,44,Male,Amman,Silver,47,1317.04,146.67,22,300.32,16,17,0.159,0.354,2,0,1,0,Card
C20162,28,Male,Zarqa,Gold,7,2106.86,411.1,14,214.88,4,25,0.532,0.662,3,3,1,1,Card
C20163,34,Male,Amman,Silver,52,1359.59,300.25,28,500.0,48,15,0.138,0.6,5,2,0,1,Cash
C20164,53,Female,Irbid,Basic,44,1791.5,80.98,16,192.64,3,13,0.344,0.198,3,1,0,1,Bank Transfer
C20165,57,Female,Amman,Basic,62,2423.28,180.52,34,363.74,1,12,0.458,0.447,5,2,0,1,Card
C20166,37,Female,Irbid,Silver,60,1234.33,98.65,30,213.72,44,11,0.4165,0.458,4,0,0,1,Card
C20167,37,Female,Amman,Platinum,62,1413.27,255.52,24,500.0,40,10,0.287,0.878,5,0,0,0,Bank Transfer
C20168,47,Female,Balqa,Gold,28,2844.52,199.59,18,310.32,8,12,0.256,0.675,3,1,0,0,Card
C20169,27,Male,Amman,Basic,5,2210.99,94.19,2,261.85,20,10,0.601,0.753,4,1,0,0,Card
C20170,44,Female,Irbid,Silver,43,1488.8,180.52,14,500.0,20,12,0.215,0.217,4,3,1,1,Cash
C20171,41,Female,Zarqa,Silver,21,1471.04,87.04,13,137.59,21,16,0.441,0.084,1,5,1,1,Card
C20172,53,Male,Irbid,Silver,40,2545.55,321.73,23,421.45,129,16,0.663,0.838,4,1,0,1,Cash
C20173,19,Female,Amman,Silver,8,1887.09,95.62,3,217.42,20,19,0.368,0.505,4,1,0,0,Digital Wallet
C20174,65,Male,Amman,Platinum,25,2458.76,352.69,20,497.28,36,14,0.4165,0.16,4,1,0,0,Card
C20175,21,Female,Amman,Basic,33,683.7,242.43,21,302.25,20,15,0.344,0.625,4,1,0,1,Card
C20176,35,Female,Irbid,Platinum,25,2084.64,230.08,11,435.84,18,18,0.54,0.059,4,0,0,0,Card
C20177,18,Female,Amman,Gold,37,1599.44,174.0,10,500.0,12,23,0.246,0.305,4,1,0,0,Card
C20178,60,Male,Zarqa,Gold,8,2488.08,204.78,7,269.4,25,13,0.102,0.778,3,0,0,0,Card
C20179,46,Male,Amman,Gold,13,1299.35,209.4,8,310.37,86,18,0.284,0.727,4,1,0,0,Digital Wallet
C20180,58,Female,Irbid,Basic,51,1792.625,109.34,19,310.58,77,14,0.83,0.455,2,2,0,0,Digital Wallet
C20181,52,Male,Zarqa,Basic,22,1549.37,53.7,6,208.64,0,16,0.624,0.516,4,0,0,0,Digital Wallet
C20182,42,Male,Irbid,Basic,7,1648.71,108.91,3,217.94,6,17,0.286,0.908,4,2,0,0,Cash
C20183,42,Male,Amman,Basic,3,1822.21,86.51,6,41.18,18,7,0.486,0.119,4,5,1,0,Card
C20184,41,Male,Zarqa,Silver,15,2202.02,154.81,7,252.32,9,12,0.703,0.192,3,1,0,0,Card
C20185,24,Female,Amman,Gold,20,1295.87,181.01,7,497.42,22,26,0.713,0.576,3,1,0,1,Card
C20186,42,Female,Irbid,Silver,31,1572.56,116.18,17,208.83,19,10,0.431,0.442,3,4,1,0,Bank Transfer
C20187,55,Male,Zarqa,Silver,44,1421.78,113.7,21,227.84,4,7,0.225,0.181,4,0,0,0,Bank Transfer
C20188,23,Male,Amman,Gold,22,2096.09,199.09,11,362.2,75,18,0.592,0.49,5,0,0,1,Digital Wallet
C20189,20,Female,Amman,Silver,18,1144.15,138.61,9,299.58,8,14,0.732,0.59,4,1,0,1,Cash
C20190,46,Male,Amman,Gold,39,1315.58,142.49,21,240.12,12,220,0.487,0.775,5,1,0,1,Card
C20191,19,Male,Zarqa,Basic,23,2173.15,152.36,12,255.84,38,9,0.243,0.53,5,0,0,0,Cash
C20192,66,Female,Amman,Basic,32,2414.32,203.74,15,378.18,22,17,0.409,0.394,3,1,0,1,Digital Wallet
C20193,55,Female,Amman,Gold,38,2154.81,274.04,18,500.0,157,24,0.222,0.325,3,2,0,1,Card
C20194,51,Male,Amman,Gold,19,1430.38,180.52,11,500.0,5,9,0.125,0.443,5,1,0,0,Card
C20195,24,Female,Amman,Gold,45,1852.49,178.13,28,286.1,154,15,0.554,0.519,3,2,0,1,Bank Transfer
C20196,31,Female,Amman,Silver,39,1871.03,180.52,15,500.0,51,18,0.362,0.316,4,1,0,1,Digital Wallet
C20197,28,Male,Amman,Silver,24,1919.88,156.5,13,258.06,19,11,0.333,0.49,3,2,0,1,Card
C20198,28,Male,Balqa,Silver,37,1305.79,170.56,21,221.98,20,17,0.065,0.195,3,2,0,0,Digital Wallet
C20199,49,Female,Irbid,Basic,15,2237.76,143.08,9,248.2,129,18,0.491,0.863,4,0,0,0,Cash
C20200,32,Female,Irbid,Basic,35,880.54,122.87,18,241.81,24,19,0.261,0.241,4,3,1,0,Digital Wallet
C20201,45,Male,Amman,Silver,1,1822.36,130.64,1,144.47,52,11,0.576,0.133,4,1,0,1,Card
C20202,60,Male,Zarqa,Silver,19,2222.42,244.63,11,365.8,23,14,0.714,0.749,3,0,0,1,Digital Wallet
C20203,30,Female,Amman,Basic,17,1268.38,190.54,12,244.82,13,10,0.469,0.954,4,3,1,1,Card
C20204,55,Female,Balqa,Basic,36,845.3,67.61,15,151.67,11,11,0.411,0.463,3,2,0,0,Card
C20205,57,Female,Other,Basic,51,2517.7,161.27,20,415.74,7,17,0.716,0.882,4,1,0,0,Cash
C20206,63,Female,Balqa,Basic,20,1811.02,122.32,9,284.14,29,12,0.223,0.328,4,0,0,0,Card
C20207,18,Female,Balqa,Basic,44,1862.16,119.48,23,215.91,49,12,0.472,0.15,5,2,0,1,Card
C20208,60,Female,Irbid,Basic,8,1630.7,67.71,8,75.14,17,20,0.486,0.642,3,1,0,1,Digital Wallet
C20209,40,Male,Zarqa,Basic,3,2062.36,104.65,3,114.94,105,10,0.34,0.564,3,2,0,1,Card
C20210,25,Female,Amman,Basic,23,1155.54,105.56,7,357.99,70,14,0.119,0.458,4,1,0,1,Cash
C20211,66,Male,Zarqa,Silver,63,2087.36,137.11,21,391.97,133,12,0.216,0.777,2,2,0,0,Cash
C20212,32,Male,Irbid,Gold,32,1449.01,194.94,16,420.73,16,13,0.486,0.604,4,0,0,0,Digital Wallet
C20213,64,Male,Amman,Basic,46,1931.9,197.4,19,474.67,75,19,0.353,0.823,4,0,0,1,Card
C20214,64,Male,Zarqa,Gold,8,2588.07,202.98,8,214.43,60,18,0.305,0.265,5,3,1,1,Bank Transfer
C20215,34,Female,Amman,Gold,2,454.62,307.05,9,61.49,76,12,0.686,0.781,4,3,1,0,Card
C20216,35,Female,Other,Gold,33,2330.52,189.77,21,300.16,3,13,0.454,0.462,5,1,0,0,Card
C20217,56,Male,Zarqa,Silver,30,1557.02,156.4,8,479.29,9,13,0.311,0.551,4,1,0,1,Digital Wallet
C20218,56,Female,Amman,Platinum,22,1864.89,286.83,14,405.66,6,22,0.326,0.9,5,2,0,1,Card
C20219,25,Male,Irbid,Gold,34,1811.35,215.54,17,378.52,11,14,0.801,0.667,5,1,0,1,Card
C20220,67,Male,Zarqa,Platinum,11,1809.27,247.51,2,500.0,42,11,0.622,0.345,3,2,0,0,Cash
C20221,69,Male,Irbid,Gold,10,2132.95,281.68,9,260.96,29,13,0.811,0.371,3,2,0,1,Card
C20222,44,Male,Irbid,Gold,25,2261.71,154.79,17,246.03,38,13,0.251,0.305,5,1,0,0,Digital Wallet
C20223,70,Female,Amman,Basic,26,2018.64,106.9,12,240.55,59,15,0.332,0.339,4,5,1,0,Cash
C20224,18,Male,Amman,Basic,36,1446.1,128.98,14,394.5,36,15,0.323,0.701,2,2,1,1,Card
C20225,41,Male,Balqa,Basic,39,1715.5,63.79,14,165.69,149,16,0.311,0.594,4,2,0,0,Bank Transfer
C20226,39,Male,Amman,Basic,29,2338.01,180.84,16,343.39,2,17,0.215,0.766,4,0,0,0,Digital Wallet
C20227,46,Male,Zarqa,Basic,34,2103.35,120.64,17,228.99,96,15,0.085,0.27,3,1,0,0,Bank Transfer
C20228,43,Male,Balqa,Silver,14,2475.16,127.41,4,500.0,9,12,0.539,0.182,4,2,0,1,Card
