Customer_ID,Age,Gender,Region,Membership_Level,Tenure_Months,Monthly_Income_JD,Monthly_Spend_JD,Total_Orders,Average_Order_Value_JD,Days_Since_Last_Purchase,Website_Visits_Last_30_Days,Email_Engagement_Rate,Discount_Usage_Rate,Satisfaction_Score,Support_Tickets_Last_6_Months,Complaint_Flag,Last_Campaign_Response,Payment_Method,Churn
C01182,53,Male,Zarqa,Basic,20,1953.84,478.25,22,408.78,36,29,0.152,0.374,5,0,0,0,Cash,0
C00595,19,Female,Zarqa,Basic,39,1769.25,180.98,20,273.83,2,16,0.777,0.638,3,3,1,0,Card,0
C00566,69,Male,Amman,Gold,40,1615.56,175.89,19,303.0,23,14,0.144,0.831,3,1,0,0,Cash,0
C00060,50,Female,Other,Gold,14,1792.625,231.92,9,358.54,21,11,0.4165,0.296,4,1,0,0,Card,0
C00915,66,Male,Zarqa,Gold,39,2940.64,218.81,15,500.0,19,19,0.385,0.707,3,2,0,1,Cash,0
C00645,64,Female,Other,Silver,5,1811.4,129.55,1,500.0,10,12,0.659,0.866,3,3,1,1,Card,0
C00548,48,Male,Amman,Silver,76,1187.52,219.98,32,409.87,14,10,0.72,0.49,4,1,0,0,Digital Wallet,0
C00417,64,Male,Amman,Gold,50,2696.25,248.68,23,500.0,27,17,0.639,0.15,3,4,1,0,Cash,0
C00008,26,Female,Amman,Silver,24,2316.66,223.32,24,196.62,112,22,0.208,0.446,4,1,0,0,Digital Wallet,0
C00822,70,Female,Amman,Gold,84,1318.01,180.98,41,372.67,8,13,0.233,0.419,2,1,1,0,Card,0
C00094,60,Female,Irbid,Gold,4,2034.12,278.9,7,155.99,24,14,0.296,0.273,3,1,0,0,Cash,1
C00956,56,Male,Zarqa,Basic,40,1921.51,50.54,17,102.9,45,4,0.092,0.649,3,3,1,0,Digital Wallet,0
C00770,40,Male,Amman,Basic,7,1195.41,209.36,6,236.78,15,22,0.599,0.546,4,0,0,0,Digital Wallet,0
C01192,25,Male,Amman,Basic,28,1792.625,89.34,12,197.43,75,9,0.214,0.198,4,2,0,1,Card,0
C00961,20,Male,Other,Basic,21,1350.47,387.2,22,341.88,64,18,0.292,0.051,4,1,0,0,Card,0
C01132,50,Male,Amman,Basic,58,1407.53,134.44,29,246.52,42,9,0.447,0.487,4,3,1,0,Cash,0
C00743,39,Female,Balqa,Platinum,15,1727.28,217.06,6,478.15,23,23,0.616,0.579,3,1,0,1,Cash,0
C00456,27,Male,Balqa,Platinum,33,1699.37,206.43,17,408.56,179,14,0.547,0.16,3,2,0,1,Card,0
C00388,40,Female,Balqa,Basic,53,1190.0,117.17,26,223.56,23,13,0.328,0.777,5,0,0,0,Cash,0
C00392,35,Female,Other,Gold,5,1275.43,281.47,5,254.9,61,17,0.72,0.119,3,3,1,1,Digital Wallet,0
C00252,44,Male,Irbid,Gold,42,2239.98,166.8,19,339.96,53,13,0.189,0.5,4,2,0,0,Card,1
C00902,68,Female,Zarqa,Basic,65,2558.08,158.27,28,359.25,82,9,0.19,0.229,5,1,0,1,Card,1
C01177,23,Male,Balqa,Basic,17,1020.82,183.87,18,123.18,0,12,0.598,0.596,3,1,0,0,Cash,0
C00508,50,Female,Amman,Basic,28,2377.05,139.54,16,237.53,5,16,0.752,0.501,4,3,1,1,Card,0
C00750,61,Female,Irbid,Basic,32,2592.22,90.18,11,242.79,66,7,0.453,0.447,4,2,0,0,Digital Wallet,1
C00112,64,Female,Amman,Platinum,9,2362.61,249.42,5,452.82,5,16,0.551,0.399,2,1,1,1,Card,0
C00732,22,Male,Zarqa,Basic,9,771.05,286.5,10,235.03,105,13,0.672,0.633,3,2,0,1,Cash,1
C00714,38,Female,Zarqa,Basic,51,2184.46,126.85,18,356.12,29,21,0.387,0.569,2,0,1,0,Card,0
C00948,53,Female,Amman,Basic,22,2027.49,142.27,16,177.21,18,14,0.214,0.572,3,4,1,0,Card,0
C00059,58,Female,Irbid,Platinum,14,1746.51,215.23,14,175.78,5,21,0.077,0.448,3,4,1,0,Card,0
C00796,56,Male,Amman,Basic,32,1481.73,111.31,13,236.01,12,13,0.629,0.654,4,0,0,0,Card,0
C00704,28,Male,Amman,Basic,14,1596.46,145.36,7,293.04,43,19,0.601,0.271,3,3,1,1,Card,0
C00423,22,Male,Other,Basic,3,558.52,180.52,6,88.0,12,15,0.392,0.117,4,2,0,0,Digital Wallet,0
C00811,21,Female,Balqa,Gold,13,1252.91,246.91,10,242.84,3,20,0.656,0.25,4,6,1,1,Card,0
C00689,23,Female,Balqa,Silver,60,1743.47,233.97,29,500.0,13,17,0.321,0.477,5,0,0,0,Card,0
C00019,67,Female,Zarqa,Basic,38,2683.63,122.9,16,294.01,54,15,0.489,0.695,3,0,0,0,Bank Transfer,0
C00045,30,Male,Irbid,Basic,25,1451.07,167.9,11,295.53,2,16,0.442,0.807,2,2,0,0,Cash,0
C00331,23,Male,Other,Basic,14,614.67,136.24,5,427.05,8,12,0.4165,0.248,4,3,1,1,Digital Wallet,1
C00230,58,Male,Amman,Gold,15,2365.14,208.08,16,199.23,49,14,0.327,0.763,3,4,1,1,Cash,1
C01003,64,Male,Amman,Basic,35,1999.76,119.86,20,216.04,86,24,0.74,0.364,4,1,0,0,Bank Transfer,0
C00871,56,Male,Zarqa,Silver,15,2403.81,121.62,7,311.67,72,12,0.507,0.535,3,4,1,0,Card,0
C01111,38,Male,Balqa,Silver,57,2161.47,129.87,22,273.14,26,16,0.856,0.395,4,1,0,1,Card,0
C00698,27,Male,Amman,Basic,58,1091.45,183.95,28,371.71,2,17,0.155,0.448,3,2,0,0,Cash,0
C00217,63,Male,Balqa,Basic,31,2479.76,103.09,18,154.59,12,14,0.294,0.573,5,0,0,1,Card,0
C00837,29,Female,Zarqa,Silver,32,1753.41,146.94,14,304.34,167,17,0.282,0.646,4,4,1,0,Cash,1
C00250,23,Female,Irbid,Silver,56,1223.98,136.55,13,500.0,69,12,0.588,0.04,3,3,1,1,Cash,0
C01171,66,Male,Irbid,Gold,14,2200.95,179.18,6,442.43,79,17,0.236,0.039,2,4,1,0,Card,1
C00966,43,Female,Irbid,Basic,5,2548.24,149.98,1,500.0,54,12,0.643,0.586,5,0,0,1,Card,1
C00934,32,Female,Irbid,Basic,4,1643.26,315.6,8,173.85,32,16,0.591,0.824,3,1,0,1,Card,1
C00608,56,Male,Amman,Silver,38,2642.55,179.48,18,399.99,12,14,0.221,0.798,5,0,0,0,Card,0
C00826,61,Female,Irbid,Silver,19,1985.74,180.52,10,328.97,1,16,0.188,0.057,4,1,0,0,Cash,0
C00244,66,Male,Balqa,Basic,18,1955.47,294.32,16,356.56,25,20,0.503,0.53,2,0,1,1,Card,0
C00306,24,Male,Balqa,Gold,13,580.83,152.56,5,370.97,28,17,0.298,0.551,3,2,0,1,Digital Wallet,0
C00569,26,Male,Amman,Basic,17,1129.07,45.98,4,192.49,39,13,0.789,0.468,4,3,1,0,Card,0
C00675,69,Male,Other,Basic,13,2030.39,184.5,10,226.34,53,13,0.23,0.401,3,1,0,0,Card,0
C00053,58,Male,Other,Silver,34,2056.9,233.88,23,395.51,51,21,0.413,0.267,3,1,0,0,Card,0
C00386,35,Female,Irbid,Gold,13,1494.41,192.83,7,377.44,38,14,0.404,0.37,2,5,1,1,Card,0
C00242,39,Female,Amman,Gold,28,1884.28,256.01,14,435.17,58,19,0.4165,0.35,3,5,1,0,Card,1
C00920,25,Female,Amman,Basic,44,2078.63,110.06,17,243.01,27,13,0.4165,0.454,5,0,0,1,Card,0
C00555,30,Female,Amman,Basic,31,1199.54,103.61,13,238.77,13,15,0.688,0.504,4,1,0,0,Digital Wallet,0
C01153,44,Male,Other,Platinum,50,1574.77,283.99,31,415.72,15,12,0.209,0.241,4,1,0,0,Digital Wallet,0
C00615,37,Female,Amman,Silver,14,2013.16,101.59,13,125.09,80,15,0.561,0.386,4,1,0,0,Card,0
C00991,59,Female,Zarqa,Basic,20,2223.54,204.58,13,237.7,19,19,0.401,0.411,3,2,0,1,Card,0
C00730,65,Male,Balqa,Basic,10,2084.79,127.52,10,139.15,45,7,0.583,0.354,3,2,0,1,Cash,0
C00897,22,Male,Amman,Basic,26,1500.06,224.1,18,331.34,17,14,0.268,0.271,4,1,0,0,Digital Wallet,0
C01093,65,Female,Zarqa,Gold,51,2035.76,177.28,24,456.39,10,15,0.618,0.683,3,1,0,0,Card,0
C00836,37,Female,Amman,Silver,18,1291.25,245.43,15,312.71,3,21,0.74,0.772,2,1,0,0,Card,0
C01145,44,Female,Balqa,Gold,14,1527.97,176.63,6,391.48,38,15,0.175,0.574,3,0,0,0,Bank Transfer,0
C00004,23,Female,Amman,Basic,48,2109.44,75.46,21,181.4,1,8,0.224,0.626,2,2,1,1,Card,0
C01002,25,Female,Zarqa,Silver,32,800.0,84.85,15,182.12,24,18,0.373,0.194,5,0,0,1,Card,0
C00835,23,Female,Balqa,Silver,23,2170.77,115.99,9,299.65,157,11,0.284,0.426,4,2,0,0,Digital Wallet,1
C00342,70,Male,Amman,Basic,45,2611.04,121.74,11,452.96,15,12,0.621,0.547,2,1,1,0,Card,0
C00992,25,Male,Irbid,Platinum,37,2440.93,343.5,19,500.0,46,15,0.22,0.607,2,5,1,0,Digital Wallet,0
C01101,24,Male,Balqa,Basic,25,1811.6,228.24,12,491.14,89,13,0.722,0.422,3,2,0,0,Bank Transfer,1
C00752,59,Male,Zarqa,Basic,65,2181.31,147.67,31,313.04,23,12,0.272,0.357,3,1,0,0,Digital Wallet,1
C00930,70,Male,Balqa,Basic,27,2005.53,61.51,10,155.42,10,10,0.502,0.519,4,1,0,0,Card,0
C01071,53,Female,Irbid,Basic,23,1778.25,226.33,9,500.0,72,11,0.659,0.549,5,1,0,0,Digital Wallet,0
C00678,25,Female,Amman,Platinum,39,1791.64,223.17,25,282.94,8,12,0.644,0.854,4,1,0,0,Card,0
C00854,42,Male,Other,Silver,64,1745.64,211.47,31,346.88,138,18,0.616,0.403,4,2,0,0,Card,1
C00592,42,Female,Amman,Gold,30,1002.37,155.76,14,372.74,14,11,0.319,0.91,5,2,0,0,Cash,1
C00604,18,Male,Irbid,Basic,49,1199.09,108.71,19,254.71,4,20,0.215,0.558,4,0,0,0,Bank Transfer,0
C00856,52,Male,Irbid,Silver,84,2115.93,135.02,29,365.7,13,14,0.668,0.643,5,2,0,0,Cash,0
C00739,45,Male,Amman,Platinum,48,1563.51,330.93,34,419.49,11,19,0.451,0.516,3,2,0,0,Digital Wallet,1
C00536,59,Male,Balqa,Gold,14,2018.75,293.59,11,377.86,24,18,0.207,0.333,2,3,1,0,Digital Wallet,1
C00440,30,Male,Amman,Basic,41,470.52,29.31,19,58.62,80,14,0.589,0.527,4,3,1,1,Cash,1
C00829,30,Female,Balqa,Basic,41,2159.19,121.36,16,289.94,33,15,0.884,0.313,4,3,1,1,Card,0
C00277,39,Male,Other,Gold,51,2765.67,229.28,18,500.0,57,14,0.467,0.556,3,1,0,0,Card,0
C00744,51,Female,Balqa,Silver,15,2178.37,276.5,11,418.22,7,23,0.812,0.306,4,2,0,0,Card,0
C01110,47,Male,Amman,Silver,16,997.68,127.52,8,218.63,29,14,0.083,0.309,4,4,1,1,Digital Wallet,0
C00583,57,Female,Amman,Basic,22,1411.57,110.96,11,239.94,74,11,0.676,0.142,4,0,0,1,Digital Wallet,0
C00703,26,Female,Amman,Basic,34,1421.66,173.14,10,500.0,20,14,0.124,0.702,4,4,1,0,Card,0
C00061,43,Male,Amman,Basic,48,1542.71,138.48,32,245.51,11,10,0.214,0.886,5,1,0,0,Bank Transfer,0
C00241,44,Female,Zarqa,Silver,32,2724.76,140.99,18,268.78,8,13,0.622,0.584,5,0,0,0,Digital Wallet,0
C00291,23,Female,Amman,Basic,6,1393.56,150.99,7,131.92,20,17,0.319,0.233,3,3,1,1,Digital Wallet,0
C00003,44,Female,Irbid,Basic,52,1788.0,212.31,19,500.0,69,13,0.324,0.39,3,1,0,0,Digital Wallet,0
C00719,40,Male,Amman,Basic,66,891.89,124.39,23,354.94,23,13,0.604,0.572,3,2,0,1,Cash,0
C00911,62,Female,Other,Basic,22,3191.04,184.39,13,285.06,3,14,0.139,0.676,4,0,0,0,Digital Wallet,0
C00293,39,Female,Amman,Silver,24,1153.68,153.47,13,250.51,22,12,0.554,0.406,4,2,0,1,Card,0
C00364,54,Female,Amman,Silver,24,1976.97,180.52,15,196.53,46,22,0.601,0.189,4,0,0,0,Card,0
C01162,34,Male,Balqa,Silver,84,1245.65,173.44,38,363.8,62,16,0.129,0.55,4,3,1,0,Card,1
C00988,59,Female,Amman,Gold,29,2109.71,183.2,19,222.38,22,15,0.4165,0.833,5,1,0,1,Card,0
C00825,35,Male,Irbid,Gold,58,1916.22,234.64,24,500.0,32,22,0.441,0.473,5,2,0,1,Cash,0
C00974,63,Male,Amman,Basic,28,2009.37,176.18,13,342.6,63,17,0.712,0.755,3,3,1,0,Card,1
C01090,68,Female,Balqa,Basic,28,1171.6,157.97,12,378.3,4,18,0.649,0.791,3,6,1,0,Card,0
C00036,54,Female,Amman,Platinum,22,2583.4,315.33,21,346.2,6,14,0.366,0.465,3,2,0,0,Cash,0
C00454,39,Female,Irbid,Platinum,47,1950.49,370.95,28,500.0,61,21,0.303,0.893,4,0,0,0,Digital Wallet,0
C00633,24,Female,Irbid,Basic,40,930.1,165.74,20,362.31,9,11,0.264,0.2,3,3,1,0,Card,0
C01117,57,Female,Amman,Basic,17,1792.625,108.63,6,258.54,80,12,0.49,0.481,3,2,0,0,Card,0
C00340,20,Male,Amman,Basic,33,1262.99,109.52,17,199.52,34,13,0.568,0.53,3,2,0,0,Digital Wallet,1
C00540,55,Female,Zarqa,Silver,67,1475.97,113.16,26,314.93,148,12,0.4165,0.714,5,1,0,1,Card,1
C00476,22,Male,Irbid,Basic,37,533.82,82.33,16,217.53,30,14,0.453,0.582,5,1,0,1,Cash,0
C00599,48,Female,Balqa,Silver,20,1902.24,366.77,15,483.29,25,16,0.32,0.241,5,2,0,0,Card,0
C00048,44,Male,Balqa,Basic,28,1941.79,167.55,18,296.73,60,19,0.666,0.684,3,1,0,0,Digital Wallet,0
C00249,35,Female,Amman,Gold,28,1316.09,166.8,11,369.22,12,21,0.229,0.073,5,0,0,0,Card,0
C01063,32,Male,Amman,Basic,48,1956.52,175.68,28,277.12,32,25,0.649,0.078,2,3,1,1,Card,0
C00103,26,Female,Amman,Silver,46,1317.78,104.96,24,192.29,54,14,0.437,0.571,4,1,0,0,Card,0
C00171,44,Male,Balqa,Basic,51,1577.92,150.37,16,453.12,83,15,0.391,0.779,3,3,1,1,Card,1
C00149,44,Male,Amman,Silver,9,2048.53,152.02,4,252.6,16,11,0.581,0.413,3,2,0,1,Card,0
C00745,19,Male,Amman,Silver,16,1297.12,254.35,9,395.12,52,15,0.31,0.413,4,1,0,1,Cash,0
C01046,65,Female,Zarqa,Basic,44,1758.74,76.84,16,199.03,59,14,0.261,0.479,3,2,0,1,Card,0
C00015,67,Female,Amman,Silver,26,2384.35,238.35,15,299.11,15,17,0.292,0.588,3,0,0,1,Card,0
C00969,44,Male,Balqa,Silver,63,1754.89,146.26,28,228.58,45,12,0.147,0.609,2,1,0,0,Cash,0
C00677,47,Female,Amman,Silver,59,2265.81,198.75,36,369.5,14,17,0.318,0.388,3,2,0,0,Digital Wallet,0
C01196,65,Male,Zarqa,Gold,9,2084.28,336.15,11,273.25,75,21,0.218,0.743,3,1,0,1,Digital Wallet,0
C00055,34,Male,Amman,Basic,34,1681.04,144.71,9,443.49,12,18,0.538,0.205,3,1,0,0,Card,0
C00529,53,Female,Zarqa,Basic,6,1314.25,87.81,5,104.34,13,18,0.556,0.035,3,4,1,0,Cash,0
C00909,44,Male,Irbid,Silver,20,2345.86,125.54,7,338.01,1,11,0.575,0.152,3,1,0,0,Card,0
C00110,41,Female,Balqa,Silver,51,1271.44,170.34,20,386.89,1,22,0.24,0.688,4,3,1,0,Digital Wallet,0
C00072,22,Female,Other,Silver,13,644.23,192.41,9,274.07,102,18,0.341,0.539,3,5,1,0,Card,0
C00360,49,Female,Zarqa,Silver,19,1560.73,104.24,7,285.88,3,13,0.607,0.508,4,1,0,1,Bank Transfer,0
C01013,34,Male,Balqa,Basic,13,766.99,222.35,7,381.0,62,17,0.708,0.698,2,4,1,1,Cash,1
C00787,47,Male,Amman,Basic,18,943.78,112.76,11,154.88,114,7,0.379,0.489,4,0,0,0,Card,0
C00847,24,Female,Amman,Silver,17,2165.57,193.99,14,215.09,68,22,0.309,0.108,3,1,0,0,Cash,0
C00985,21,Male,Irbid,Basic,22,1585.24,149.45,6,336.28,14,11,0.374,0.326,3,4,1,1,Card,0
C00183,19,Female,Zarqa,Platinum,16,1113.71,269.78,14,250.29,114,16,0.43,0.301,5,0,0,0,Cash,0
C00579,61,Male,Amman,Gold,19,1667.13,202.93,14,279.87,70,19,0.305,0.045,2,1,0,0,Bank Transfer,1
C00549,32,Male,Amman,Basic,49,596.81,161.82,26,236.97,28,16,0.514,0.351,3,1,0,0,Card,0
C00500,36,Male,Zarqa,Platinum,83,2195.68,388.12,40,500.0,10,30,0.493,0.24,3,2,0,1,Card,0
C00426,28,Male,Zarqa,Silver,35,1792.625,113.62,11,380.45,4,13,0.21,0.399,4,3,1,0,Digital Wallet,0
C00852,58,Male,Other,Basic,23,1440.93,273.56,14,464.32,46,16,0.225,0.329,5,0,0,0,Card,0
C01060,26,Female,Zarqa,Silver,44,2297.77,140.55,24,266.17,47,10,0.337,0.817,3,1,0,0,Card,0
C00344,26,Female,Balqa,Platinum,69,1650.17,213.36,29,500.0,54,12,0.338,0.886,3,2,0,0,Digital Wallet,0
C00643,36,Male,Amman,Silver,19,1928.99,147.27,12,207.89,1,7,0.1,0.337,4,1,0,0,Bank Transfer,0
C00347,24,Female,Amman,Basic,28,1470.54,269.03,15,500.0,27,14,0.577,0.653,4,1,0,0,Cash,0
C00488,48,Male,Amman,Basic,28,1643.79,218.54,12,459.82,23,16,0.139,0.392,3,1,0,0,Card,0
C00439,32,Male,Amman,Silver,28,1510.53,333.78,21,437.04,79,16,0.453,0.242,4,1,0,1,Card,1
C00542,60,Male,Balqa,Silver,16,1781.24,190.88,11,237.51,23,16,0.238,0.243,4,1,0,0,Cash,0
C00339,40,Female,Amman,Silver,24,1568.16,154.66,16,236.37,9,21,0.224,0.162,3,2,0,1,Cash,1
C00629,50,Male,Zarqa,Gold,31,2253.25,188.18,18,280.29,174,19,0.765,0.327,3,3,1,1,Card,1
C00318,44,Male,Irbid,Silver,25,1907.18,141.05,6,500.0,24,11,0.63,0.454,4,3,1,0,Cash,1
C00034,56,Male,Amman,Gold,12,1582.48,190.51,6,345.43,18,15,0.358,0.418,5,0,0,0,Digital Wallet,0
C00931,60,Female,Other,Gold,4,2310.31,180.52,5,191.24,13,16,0.457,0.372,3,2,0,0,Digital Wallet,1
C01065,23,Male,Balqa,Basic,24,695.36,138.6,12,247.26,25,21,0.31,0.244,3,3,1,1,Digital Wallet,1
C01089,43,Male,Amman,Platinum,42,2073.01,197.95,14,440.28,14,15,0.494,0.582,3,4,1,1,Card,0
C01123,22,Female,Irbid,Silver,23,447.08,113.27,15,169.89,18,24,0.238,0.594,4,2,0,0,Cash,1
C00498,22,Female,Amman,Gold,9,801.95,148.57,3,433.51,10,14,0.509,0.392,3,2,0,0,Digital Wallet,0
C00995,30,Female,Amman,Platinum,16,2030.09,317.15,15,331.28,0,15,0.225,0.217,4,1,0,0,Bank Transfer,0
C00818,29,Female,Amman,Basic,6,762.42,77.08,5,92.15,4,17,0.263,0.616,4,0,0,0,Card,0
C00221,53,Female,Amman,Basic,46,1421.41,96.68,23,124.58,11,19,0.59,0.665,3,1,0,0,Card,0
C00768,33,Female,Amman,Platinum,50,1525.21,279.79,23,500.0,1,16,0.715,0.28,4,2,0,0,Digital Wallet,0
C00572,62,Male,Balqa,Basic,19,2698.58,170.49,14,271.6,34,16,0.369,0.687,3,0,0,0,Card,0
C00942,70,Male,Irbid,Basic,52,2800.32,250.49,35,260.38,29,13,0.229,0.08,2,0,0,0,Card,0
C00411,24,Female,Irbid,Silver,15,1964.01,107.38,9,179.08,30,10,0.408,0.419,4,0,0,0,Card,1
C00751,46,Male,Zarqa,Basic,7,2238.53,217.68,4,280.33,51,18,0.358,0.866,3,5,1,1,Cash,0
C00352,33,Female,Amman,Gold,31,2373.82,311.75,15,500.0,34,19,0.403,0.727,4,3,1,0,Card,1
C00415,68,Male,Amman,Silver,76,2376.6,491.37,42,500.0,51,21,0.413,0.527,3,3,1,1,Cash,0
C00425,39,Male,Amman,Basic,60,2507.01,122.6,34,251.2,5,16,0.465,0.707,5,1,0,1,Digital Wallet,0
C00773,20,Female,Irbid,Basic,14,529.85,385.33,8,500.0,3,18,0.439,0.475,4,0,0,1,Bank Transfer,0
C00324,24,Male,Zarqa,Basic,16,1571.34,106.03,6,239.41,0,18,0.567,0.296,4,6,1,1,Cash,1
C01114,42,Male,Amman,Basic,61,1902.22,339.86,30,500.0,81,17,0.569,0.765,4,1,0,1,Card,0
C00777,53,Female,Amman,Basic,56,2065.52,120.29,18,352.81,22,220,0.114,0.478,3,4,1,0,Digital Wallet,1
C00012,37,Male,Irbid,Basic,84,1528.79,549.57,58,500.0,9,29,0.417,0.296,4,1,0,0,Digital Wallet,0
C00541,46,Female,Irbid,Silver,33,2039.11,212.17,20,278.52,8,14,0.562,0.636,5,1,0,0,Card,0
C01083,21,Male,Amman,Basic,82,1792.625,82.07,40,144.81,32,13,0.121,0.782,4,0,0,0,Bank Transfer,0
C01059,22,Male,Amman,Basic,19,1118.88,106.77,6,311.01,30,18,0.274,0.155,4,1,0,0,Card,0
C00855,60,Female,Balqa,Basic,26,1979.0,170.46,13,339.28,1,15,0.268,0.084,2,1,1,0,Bank Transfer,1
C00883,35,Female,Balqa,Gold,20,1780.26,306.25,10,500.0,34,28,0.457,0.072,3,1,0,0,Card,0
C00168,62,Male,Balqa,Basic,29,2185.86,76.26,8,281.77,600,16,0.239,0.37,5,0,0,0,Card,1
C00507,39,Female,Irbid,Basic,10,1563.82,244.65,16,153.13,36,12,0.336,0.732,4,3,1,1,Card,0
C01080,68,Female,Irbid,Gold,12,2769.28,227.66,9,214.83,64,21,0.427,0.327,3,3,1,1,Card,0
C00106,19,Female,Zarqa,Silver,55,1246.49,182.16,19,500.0,11,14,0.171,0.441,3,2,0,0,Card,0
C01103,38,Female,Irbid,Basic,50,1624.61,275.29,20,500.0,13,19,0.752,0.023,4,1,0,0,Digital Wallet,0
C00710,66,Female,Irbid,Basic,16,2033.56,78.56,17,73.83,91,9,0.309,0.705,4,2,0,1,Digital Wallet,0
C01138,46,Female,Balqa,Basic,76,1844.29,259.23,33,500.0,14,19,0.562,0.458,3,0,0,0,Card,0
C00552,57,Female,Balqa,Basic,28,1379.64,172.08,14,279.34,19,15,0.662,0.665,3,3,1,1,Card,0
C00912,42,Female,Amman,Basic,38,1984.94,114.65,14,260.01,45,19,0.327,0.646,4,3,1,1,Cash,0
C00935,50,Male,Amman,Silver,61,2073.17,162.73,21,500.0,62,10,0.403,0.48,2,5,1,0,Bank Transfer,0
C00670,59,Male,Amman,Gold,22,1792.625,163.18,15,213.63,49,18,0.604,0.365,4,4,1,0,Card,0
C00781,41,Female,Balqa,Gold,23,2110.66,321.08,19,385.1,5,19,0.401,0.37,3,2,0,0,Digital Wallet,0
C01125,27,Male,Amman,Basic,48,741.13,258.81,16,500.0,18,17,0.491,0.058,3,1,0,1,Card,0
C01077,50,Male,Amman,Basic,35,2026.48,222.67,23,307.85,52,11,0.265,0.107,3,2,0,0,Card,0
C01189,69,Male,Amman,Basic,48,2333.76,262.84,19,500.0,91,16,0.199,0.301,3,3,1,0,Card,1
C00223,52,Male,Amman,Basic,23,2972.98,229.85,14,370.52,29,14,0.47,0.234,4,0,0,0,Card,0
C00218,48,Male,Irbid,Silver,28,1992.53,124.31,15,233.5,102,9,0.654,0.246,3,0,0,1,Digital Wallet,0
C00712,21,Female,Irbid,Basic,27,2156.77,96.6,13,158.0,115,13,0.384,0.221,3,4,1,0,Digital Wallet,0
C00840,41,Female,Irbid,Basic,16,1871.64,176.94,6,479.92,100,15,0.745,0.402,5,0,0,1,Card,0
C00037,63,Male,Irbid,Platinum,31,3020.47,275.32,29,266.9,28,23,0.186,0.414,5,1,0,0,Digital Wallet,0
C00214,53,Male,Zarqa,Platinum,38,1940.05,324.73,28,385.12,24,19,0.34,0.322,3,2,0,1,Digital Wallet,0
C00379,66,Male,Amman,Basic,12,1824.54,128.74,5,324.7,24,16,0.59,0.551,4,0,0,0,Cash,0
C01127,44,Female,Balqa,Basic,12,1583.5,152.73,6,361.64,4,17,0.274,0.331,4,0,0,1,Bank Transfer,0
C00135,31,Male,Irbid,Platinum,20,1582.98,485.64,19,500.0,20,22,0.617,0.711,3,1,0,0,Cash,0
C00113,34,Female,Zarqa,Silver,4,896.13,180.87,8,107.19,7,16,0.648,0.146,4,1,0,0,Card,0
C00206,66,Female,Zarqa,Basic,31,1849.06,235.31,16,456.54,16,12,0.157,0.334,3,1,0,1,Cash,0
C01062,68,Female,Amman,Basic,84,1658.47,76.72,23,206.14,28,10,0.5,0.684,5,1,0,1,Cash,0
C00429,50,Female,Balqa,Gold,6,1151.82,188.6,2,500.0,69,13,0.453,0.121,4,2,0,0,Bank Transfer,0
